,u_in,u_out,vy_in,r_in,xg_in,yg_in,theta_in,t,vy_out,r_out,xg_out,yg_out,theta_out
5765,-0.0926365764199369,-0.09246432794045761,1.6113939864086546,-0.06915292575831251,-31.200851031015006,1291.383912328387,1.1729218029705935,57.65,1.6099174389699418,-0.06904507215294971,-31.09936380369129,1291.6666838973365,1.172230812406801
5766,-0.09246432794045761,-0.09229113991829935,1.6099174389699418,-0.06904507215294971,-31.09936380369129,1291.6666838973365,1.172230812406801,57.660000000000004,1.6084293838977095,-0.06893647078271568,-30.997667710239565,1291.9493795761919,1.1715409044747964
5767,-0.09229113991829935,-0.09211701139465495,1.6084293838977095,-0.06893647078271568,-30.997667710239565,1291.9493795761919,1.1715409044747964,57.67,1.6069297629664636,-0.06882711694645023,-30.89576299983772,1292.231999270879,1.1708520863329726
5768,-0.09211701139465495,-0.09194194141071738,1.6069297629664636,-0.06882711694645023,-30.89576299983772,1292.231999270879,1.1708520863329726,57.68,1.6054185151605505,-0.06871700571084224,-30.79364993087698,1292.5145428944156,1.1701643655207703
5769,-0.09194194141071738,-0.09176592900767949,1.6054185151605505,-0.06871700571084224,-30.79364993087698,1292.5145428944156,1.1701643655207703,57.69,1.6038955789310747,-0.06860613209999648,-30.69132876344891,1292.7970103609937,1.1694777496345643
5770,-0.09176592900767949,-0.09158897322673451,1.6038955789310747,-0.06860613209999648,-30.69132876344891,1292.7970103609937,1.1694777496345643,57.7,1.602360892248656,-0.06849449109985452,-30.588799759167394,1293.0794015858403,1.1687922463200433
5771,-0.09158897322673451,-0.09141107310907527,1.602360892248656,-0.06849449109985452,-30.588799759167394,1293.0794015858403,1.1687922463200433,57.71,1.6008143926008636,-0.06838207765796901,-30.486063181174014,1293.361716485225,1.1681078632725295
5772,-0.09141107310907527,-0.09123222769589463,1.6008143926008636,-0.06838207765796901,-30.486063181174014,1293.361716485225,1.1681078632725295,57.72,1.5992560169896606,-0.06826888668327875,-30.383119294144084,1293.643954976466,1.1674246082373017
5773,-0.09123222769589463,-0.09105243602838581,1.5992560169896606,-0.06826888668327875,-30.383119294144084,1293.643954976466,1.1674246082373017,57.730000000000004,1.5976857019288493,-0.06815491304588354,-30.27996836429264,1293.926116977934,1.1667424890099178
5774,-0.09105243602838581,-0.09087169714774163,1.5976857019288493,-0.06815491304588354,-30.27996836429264,1293.926116977934,1.1667424890099178,57.74,1.5961033834415057,-0.0680401515768185,-30.176610659379826,1294.208202409063,1.1660615134365346
